[I][2017-05-13 16:34:51] time, dt, force, avg_sigma, sqr, press, max_y, max_x, err, nK, dV, Sqr
[I][2017-05-13 16:34:52] 47 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.61417 | 50 | 0.00969109 | 21 | 7876.38 | 50.0326 | 7876.38 | 7853.98 | 
[I][2017-05-13 16:34:52] 48 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.68399 | 50 | 0.00964988 | 21 | 7876.67 | 50.0284 | 7876.67 | 7853.98 | 
[I][2017-05-13 16:34:52] 49 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.7541 | 50 | 0.00963413 | 21 | 7876.94 | 50.024 | 7876.94 | 7853.98 | 
[I][2017-05-13 16:34:52] 50 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.82449 | 50 | 0.00963153 | 21 | 7877.21 | 50.0194 | 7877.21 | 7853.98 | 
[I][2017-05-13 16:34:53] 51 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.89513 | 50 | 0.00955088 | 21 | 7877.48 | 50.0146 | 7877.48 | 7853.98 | 
[I][2017-05-13 16:34:53] 52 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 5.96603 | 50 | 0.00948457 | 21 | 7877.73 | 50.0097 | 7877.73 | 7853.98 | 
[I][2017-05-13 16:34:53] 53 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.03718 | 50 | 0.00948748 | 21 | 7877.98 | 50.0045 | 7877.98 | 7853.98 | 
[I][2017-05-13 16:34:53] 54 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.1086 | 50 | 0.00953132 | 21 | 7878.22 | 49.9991 | 7878.22 | 7853.98 | 
[I][2017-05-13 16:34:53] 55 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.18029 | 50 | 0.00958007 | 21 | 7878.45 | 49.9935 | 7878.45 | 7853.98 | 
[I][2017-05-13 16:34:53] 56 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.25228 | 50 | 0.00965375 | 21 | 7878.67 | 49.9877 | 7878.67 | 7853.98 | 
[I][2017-05-13 16:34:53] 57 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.32457 | 50 | 0.00972613 | 21 | 7878.89 | 49.9818 | 7878.89 | 7853.98 | 
[I][2017-05-13 16:34:53] 58 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.39718 | 50 | 0.00979228 | 21 | 7879.1 | 49.9756 | 7879.1 | 7853.98 | 
[I][2017-05-13 16:34:53] 59 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.47011 | 50 | 0.00987829 | 21 | 7879.3 | 49.9693 | 7879.3 | 7853.98 | 
[I][2017-05-13 16:34:53] 60 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.54336 | 50 | 0.00996104 | 21 | 7879.5 | 49.9628 | 7879.5 | 7853.98 | 
[I][2017-05-13 16:34:53] 61 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.61694 | 50 | 0.00730235 | 22 | 7879.69 | 49.9561 | 7879.69 | 7853.98 | 
[I][2017-05-13 16:34:53] 62 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.69101 | 50 | 0.00736758 | 22 | 7879.88 | 49.9492 | 7879.88 | 7853.98 | 
[I][2017-05-13 16:34:53] 63 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.76539 | 50 | 0.00741749 | 22 | 7880.06 | 49.9422 | 7880.06 | 7853.98 | 
[I][2017-05-13 16:34:53] 64 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.84007 | 50 | 0.00748561 | 22 | 7880.24 | 49.9349 | 7880.24 | 7853.98 | 
[I][2017-05-13 16:34:53] 65 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.91505 | 50 | 0.00753276 | 22 | 7880.41 | 49.9275 | 7880.41 | 7853.98 | 
[I][2017-05-13 16:34:53] 66 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 6.99032 | 50 | 0.00758076 | 22 | 7880.58 | 49.9199 | 7880.58 | 7853.98 | 
[I][2017-05-13 16:34:53] 67 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.06586 | 50 | 0.00764798 | 22 | 7880.75 | 49.9122 | 7880.75 | 7853.98 | 
[I][2017-05-13 16:34:53] 68 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.14168 | 50 | 0.00769245 | 22 | 7880.91 | 49.9043 | 7880.91 | 7853.98 | 
[I][2017-05-13 16:34:53] 69 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.21775 | 50 | 0.00774218 | 22 | 7881.07 | 49.8962 | 7881.07 | 7853.98 | 
[I][2017-05-13 16:34:53] 70 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.29407 | 50 | 0.00780243 | 22 | 7881.22 | 49.8879 | 7881.22 | 7853.98 | 
[I][2017-05-13 16:34:53] 71 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.37062 | 50 | 0.00784675 | 22 | 7881.38 | 49.8795 | 7881.38 | 7853.98 | 
[I][2017-05-13 16:34:53] 72 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.4474 | 50 | 0.00788689 | 22 | 7881.52 | 49.871 | 7881.52 | 7853.98 | 
[I][2017-05-13 16:34:53] 73 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.52439 | 50 | 0.00794733 | 22 | 7881.67 | 49.8622 | 7881.67 | 7853.98 | 
[I][2017-05-13 16:34:53] 74 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.60158 | 50 | 0.00798994 | 22 | 7881.82 | 49.8534 | 7881.82 | 7853.98 | 
[I][2017-05-13 16:34:53] 75 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.67896 | 50 | 0.00802976 | 22 | 7881.96 | 49.8443 | 7881.96 | 7853.98 | 
[I][2017-05-13 16:34:53] 76 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.75651 | 50 | 0.00806265 | 22 | 7882.1 | 49.8351 | 7882.1 | 7853.98 | 
[I][2017-05-13 16:34:53] 77 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.83423 | 50 | 0.00811883 | 22 | 7882.24 | 49.8257 | 7882.24 | 7853.98 | 
[I][2017-05-13 16:34:53] 78 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.91211 | 50 | 0.00815722 | 22 | 7882.37 | 49.8162 | 7882.37 | 7853.98 | 
[I][2017-05-13 16:34:53] 79 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 7.99013 | 50 | 0.00819296 | 22 | 7882.51 | 49.8065 | 7882.51 | 7853.98 | 
[I][2017-05-13 16:34:53] 80 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 8.06829 | 50 | 0.00822699 | 22 | 7882.64 | 49.7967 | 7882.64 | 7853.98 | 
[I][2017-05-13 16:34:53] 81 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 8.14658 | 50 | 0.00827305 | 22 | 7882.77 | 49.7867 | 7882.77 | 7853.98 | 
[I][2017-05-13 16:34:53] 82 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 8.22499 | 50 | 0.00830202 | 22 | 7882.9 | 49.7765 | 7882.9 | 7853.98 | 
[I][2017-05-13 16:34:53] 83 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 8.30351 | 50 | 0.0083359 | 22 | 7883.03 | 49.7662 | 7883.03 | 7853.98 | 
[I][2017-05-13 16:34:53] 84 | 1 | 0 | -nan(ind) | 7853.98 | 0 | 8.38213 | 50 | 0.00836708 | 22 | 7883.16 | 49.7558 | 7883.16 | 7853.98 | 
