[I][2017-05-13 16:38:29] dt, cm_x, cm_y, avg_d, avg_ds, mju, smo_d, smo_ds, int_d, int_ds, sf_a, sf_b, sf_c
[I][2017-05-13 16:38:36] 11 | 25.4891 | 0.437068 | 1.79445e-07 | -4.82466e-06 | 130469 | 1.78486e-06 | 5.62322e-07 | 3.56198e-05 | 2.36423e-05 | 1.28538e-05 | -7.09868e-07 | -2.66179e-05 | 
[I][2017-05-13 16:38:36] 12 | 25.4884 | 0.498529 | 2.0675e-06 | -5.29762e-06 | 97619.1 | 4.4943e-06 | 1.88806e-06 | 5.92621e-05 | 3.50815e-05 | 2.21422e-05 | -1.09749e-06 | -3.69376e-05 | 
[I][2017-05-13 16:38:36] 13 | 25.4875 | 0.580327 | 6.567e-06 | -4.01459e-06 | 76929.6 | 9.98205e-06 | 4.4995e-06 | 9.43436e-05 | 4.85082e-05 | 3.58957e-05 | -1.67084e-06 | -4.62687e-05 | 
[I][2017-05-13 16:38:36] 14 | 25.4863 | 0.677879 | 1.56561e-05 | -1.1278e-07 | 66893.9 | 2.01521e-05 | 9.0891e-06 | 0.000142852 | 5.86691e-05 | 5.0983e-05 | -2.44214e-06 | -4.88792e-05 | 
[I][2017-05-13 16:38:36] 15 | 25.4851 | 0.781763 | 3.07361e-05 | 5.15043e-06 | 65844.9 | 3.64023e-05 | 1.508e-05 | 0.000201521 | 5.99444e-05 | 6.05183e-05 | -3.31754e-06 | -4.17495e-05 | 
[I][2017-05-13 16:38:36] 16 | 25.484 | 0.883451 | 5.16733e-05 | 9.93091e-06 | 68796.5 | 5.86308e-05 | 2.09371e-05 | 0.000261465 | 5.64727e-05 | 6.43747e-05 | -4.34565e-06 | -3.02363e-05 | 
[I][2017-05-13 16:38:36] 17 | 25.4832 | 0.979857 | 7.7909e-05 | 1.38863e-05 | 72314.7 | 8.63069e-05 | 2.62357e-05 | 0.000317938 | 5.27678e-05 | 6.55042e-05 | -5.66093e-06 | -1.81842e-05 | 
[I][2017-05-13 16:38:37] 18 | 25.4828 | 1.07105 | 0.000109058 | 1.72815e-05 | 74185.1 | 0.00011906 | 3.11494e-05 | 0.000370706 | 5.09659e-05 | 6.62007e-05 | -7.41623e-06 | -6.93997e-06 | 
[I][2017-05-13 16:38:37] 19 | 25.4826 | 1.15792 | 0.00014495 | 2.03673e-05 | 73197.5 | 0.000156716 | 3.58912e-05 | 0.000421672 | 5.19038e-05 | 6.77411e-05 | -9.85621e-06 | 3.21708e-06 | 
[I][2017-05-13 16:38:37] 20 | 25.4827 | 1.24146 | 0.000185405 | 2.31627e-05 | 69517.2 | 0.000199086 | 4.04551e-05 | 0.000473575 | 5.56776e-05 | 7.0486e-05 | -1.32935e-05 | 1.22955e-05 | 
