[I][2017-05-13 16:38:06] dt, x, y, avg_d, avg_ds, int_d, int_ds, sigma_x, sigma_y, int_s
[I][2017-05-13 16:38:15] 47 | 17.3578 | 30.0125 | -0.00170659 | 8.5455e-07 | 0.342311 | 4.44607e-08 | 16.3136 | 17.4006 | 1.33382 | 
[I][2017-05-13 16:38:15] 48 | 17.3578 | 29.9592 | -0.00170574 | 8.53439e-07 | 0.342311 | 4.27669e-08 | 16.2967 | 17.3923 | 1.28301 | 
[I][2017-05-13 16:38:15] 49 | 17.3578 | 29.9088 | -0.00170487 | 8.71097e-07 | 0.342311 | 6.95088e-08 | 16.3837 | 17.6718 | 2.08527 | 
[I][2017-05-13 16:38:15] 50 | 17.3578 | 29.8604 | -0.00170359 | 1.2686e-06 | 0.342311 | 1.62785e-07 | 20.3985 | 21.5833 | 4.00211 | 
[I][2017-05-13 16:38:15] 51 | 17.3579 | 29.8142 | -0.00170189 | 1.53598e-06 | 0.342311 | 2.73961e-07 | 14.8669 | 16.5177 | 4.00211 | 
[I][2017-05-13 16:38:15] 52 | 17.3579 | 29.7702 | -0.00169975 | 1.73049e-06 | 0.342311 | 8.29215e-07 | 5.2733 | 5.95934 | 4.12519 | 
[I][2017-05-13 16:38:15] 53 | 17.3579 | 29.7284 | -0.0016771 | 2.45546e-05 | 0.342312 | 1.27376e-05 | 11.3912 | 13.0691 | 7.78798 | 
[I][2017-05-13 16:38:15] 54 | 17.3582 | 29.6886 | -0.00167177 | 5.86288e-06 | 0.342325 | 3.99155e-06 | 6.58096 | 6.96286 | 5.68763 | 
[I][2017-05-13 16:38:15] 55 | 17.3583 | 29.6505 | -0.00164919 | 2.47534e-05 | 0.342329 | 1.1407e-05 | 12.5059 | 14.1962 | 7.56056 | 
[I][2017-05-13 16:38:15] 56 | 17.3585 | 29.6144 | -0.00162088 | 3.02507e-05 | 0.34234 | 1.18764e-05 | 14.0658 | 16.8559 | 7.61785 | 
[I][2017-05-13 16:38:15] 57 | 17.3589 | 29.5802 | -0.00160844 | 1.20442e-05 | 0.342352 | 1.67849e-06 | 21.0704 | 23.0006 | 4.59062 | 
[I][2017-05-13 16:38:15] 58 | 17.3592 | 29.5475 | -0.00159318 | 1.64223e-05 | 0.342354 | 8.11414e-06 | 9.74339 | 12.7758 | 6.92675 | 
[I][2017-05-13 16:38:15] 59 | 17.3593 | 29.5162 | -0.00157381 | 1.7698e-05 | 0.342362 | 4.20319e-06 | 15.3809 | 15.8552 | 5.8183 | 
[I][2017-05-13 16:38:16] 60 | 17.3597 | 29.4867 | -0.00156312 | 9.6379e-06 | 0.342366 | 3.45212e-06 | 9.9848 | 10.2421 | 5.50881 | 
[I][2017-05-13 16:38:16] 61 | 17.3599 | 29.4584 | -0.00155219 | 1.0709e-05 | 0.342369 | 2.03203e-06 | 19.3852 | 20.2155 | 4.75621 | 
[I][2017-05-13 16:38:16] 62 | 17.36 | 29.4316 | -0.00153196 | 2.06422e-05 | 0.342371 | 7.01653e-06 | 15.2647 | 16.3265 | 6.49719 | 
[I][2017-05-13 16:38:16] 63 | 17.3603 | 29.4062 | -0.00151691 | 1.5776e-05 | 0.342378 | 6.21954e-06 | 12.8948 | 13.5042 | 6.31753 | 
[I][2017-05-13 16:38:16] 64 | 17.3605 | 29.382 | -0.00151075 | 6.10126e-06 | 0.342384 | 1.0793e-06 | 14.7088 | 15.0879 | 4.12152 | 
[I][2017-05-13 16:38:16] 65 | 17.3607 | 29.3589 | -0.00149202 | 1.98891e-05 | 0.342385 | 7.78897e-06 | 11.9779 | 14.6943 | 6.87531 | 
[I][2017-05-13 16:38:16] 66 | 17.3609 | 29.3372 | -0.00148197 | 9.83182e-06 | 0.342393 | 1.88729e-06 | 15.6074 | 16.5874 | 4.72249 | 
[I][2017-05-13 16:38:16] 67 | 17.3611 | 29.3165 | -0.00147147 | 9.74976e-06 | 0.342395 | 3.05813e-06 | 10.9949 | 10.6889 | 5.35532 | 
[I][2017-05-13 16:38:16] 68 | 17.3613 | 29.2969 | -0.00145759 | 1.29689e-05 | 0.342398 | 3.12339e-06 | 13.5382 | 14.3552 | 5.39948 | 
[I][2017-05-13 16:38:16] 69 | 17.3616 | 29.2783 | -0.00145076 | 6.50542e-06 | 0.342401 | 2.41674e-06 | 8.22035 | 8.24161 | 5.04815 | 
[I][2017-05-13 16:38:16] 70 | 17.3617 | 29.2605 | -0.00144208 | 8.91275e-06 | 0.342404 | 1.15043e-06 | 25.1396 | 25.1773 | 4.25103 | 
[I][2017-05-13 16:38:16] 71 | 17.3619 | 29.2437 | -0.00142143 | 2.25261e-05 | 0.342405 | 1.24103e-05 | 11.3168 | 13.7485 | 7.45566 | 
[I][2017-05-13 16:38:16] 72 | 17.3621 | 29.228 | -0.0014097 | 1.08408e-05 | 0.342417 | 4.22649e-06 | 8.55205 | 8.9859 | 5.83587 | 
[I][2017-05-13 16:38:16] 73 | 17.3624 | 29.2131 | -0.00139634 | 1.37483e-05 | 0.342421 | 2.33842e-06 | 21.932 | 22.8587 | 4.88576 | 
[I][2017-05-13 16:38:17] 74 | 17.3626 | 29.199 | -0.00138737 | 8.99766e-06 | 0.342424 | 2.30498e-06 | 15.1139 | 15.8927 | 4.79183 | 
[I][2017-05-13 16:38:17] 75 | 17.3627 | 29.1857 | -0.00137491 | 1.20177e-05 | 0.342426 | 5.17744e-06 | 8.63785 | 9.54436 | 6.0951 | 
[I][2017-05-13 16:38:17] 76 | 17.363 | 29.1732 | -0.00136476 | 9.82524e-06 | 0.342431 | 5.08796e-06 | 7.43308 | 8.03323 | 5.99343 | 
[I][2017-05-13 16:38:17] 77 | 17.3631 | 29.1615 | -0.00135227 | 1.2691e-05 | 0.342436 | 3.749e-06 | 14.8687 | 15.6588 | 5.44028 | 
[I][2017-05-13 16:38:17] 78 | 17.3634 | 29.1504 | -0.00134087 | 1.15068e-05 | 0.34244 | 3.9584e-06 | 14.385 | 15.4118 | 5.4027 | 
[I][2017-05-13 16:38:17] 79 | 17.3635 | 29.1402 | -0.00133007 | 1.03472e-05 | 0.342444 | 3.22473e-06 | 10.0952 | 10.8126 | 5.45701 | 
[I][2017-05-13 16:38:17] 80 | 17.3637 | 29.1305 | -0.00131874 | 1.11304e-05 | 0.342447 | 3.97059e-06 | 11.007 | 9.83462 | 5.76149 | 
[I][2017-05-13 16:38:17] 81 | 17.364 | 29.1215 | -0.00130893 | 9.81352e-06 | 0.342451 | 2.07338e-06 | 14.3147 | 14.9217 | 4.84078 | 
[I][2017-05-13 16:38:17] 82 | 17.3641 | 29.1131 | -0.00129655 | 1.31747e-05 | 0.342454 | 3.80424e-06 | 18.6229 | 22.0896 | 5.43286 | 
[I][2017-05-13 16:38:17] 83 | 17.3644 | 29.1053 | -0.00128445 | 1.17554e-05 | 0.342457 | 3.12952e-06 | 13.1676 | 12.8895 | 5.39563 | 
[I][2017-05-13 16:38:17] 84 | 17.3646 | 29.0982 | -0.00127029 | 1.49928e-05 | 0.34246 | 5.82104e-06 | 9.56279 | 13.0903 | 6.31037 | 
[I][2017-05-13 16:38:18] 85 | 17.3648 | 29.0918 | -0.00125851 | 1.24574e-05 | 0.342466 | 6.37754e-06 | 6.69807 | 10.6443 | 6.45934 | 
[I][2017-05-13 16:38:18] 86 | 17.3651 | 29.0859 | -0.00124871 | 1.02771e-05 | 0.342473 | 1.81817e-06 | 22.4401 | 25.2012 | 4.56198 | 
[I][2017-05-13 16:38:18] 87 | 17.3652 | 29.0805 | -0.00123754 | 1.09615e-05 | 0.342474 | 3.31974e-06 | 10.339 | 11.5663 | 5.48234 | 
[I][2017-05-13 16:38:18] 88 | 17.3655 | 29.0757 | -0.0012262 | 1.14787e-05 | 0.342478 | 2.12486e-06 | 15.2749 | 17.3786 | 4.88513 | 
[I][2017-05-13 16:38:18] 89 | 17.3657 | 29.0714 | -0.00121442 | 1.26646e-05 | 0.34248 | 5.12073e-06 | 9.31088 | 12.5676 | 6.05492 | 
[I][2017-05-13 16:38:18] 90 | 17.3659 | 29.0677 | -0.0012049 | 1.03293e-05 | 0.342485 | 5.29866e-06 | 9.52526 | 12.1814 | 5.86997 | 
[I][2017-05-13 16:38:18] 91 | 17.3661 | 29.0644 | -0.00119112 | 1.52065e-05 | 0.34249 | 6.55443e-06 | 17.0171 | 19.2573 | 6.14424 | 
[I][2017-05-13 16:38:18] 92 | 17.3663 | 29.0616 | -0.00117967 | 1.04412e-05 | 0.342497 | 3.45087e-06 | 9.03608 | 9.96403 | 5.55576 | 
[I][2017-05-13 16:38:18] 93 | 17.3666 | 29.0592 | -0.00116765 | 1.09327e-05 | 0.3425 | 3.62874e-06 | 9.22375 | 10.0728 | 5.62891 | 
[I][2017-05-13 16:38:18] 94 | 17.3668 | 29.0572 | -0.00115621 | 1.04852e-05 | 0.342504 | 3.58891e-06 | 8.88445 | 9.64699 | 5.61337 | 
[I][2017-05-13 16:38:18] 95 | 17.3671 | 29.0557 | -0.00114467 | 1.05529e-05 | 0.342507 | 3.70946e-06 | 8.6426 | 9.4248 | 5.66351 | 
[I][2017-05-13 16:38:19] 96 | 17.3673 | 29.0545 | -0.00113656 | 7.8227e-06 | 0.342511 | 3.31863e-06 | 6.89204 | 7.56577 | 5.49857 | 
[I][2017-05-13 16:38:19] 97 | 17.3675 | 29.0536 | -0.0011257 | 1.111e-05 | 0.342515 | 1.96281e-06 | 16.2005 | 18.3328 | 4.77944 | 
[I][2017-05-13 16:38:19] 98 | 17.3677 | 29.053 | -0.00111598 | 9.98609e-06 | 0.342516 | 1.8982e-06 | 15.0191 | 17.4235 | 4.72704 | 
[I][2017-05-13 16:38:19] 99 | 17.3679 | 29.0528 | -0.00110695 | 9.36417e-06 | 0.342518 | 1.85702e-06 | 15.242 | 17.3125 | 4.65655 | 
[I][2017-05-13 16:38:19] 100 | 17.3681 | 29.0529 | -0.0010954 | 1.16636e-05 | 0.34252 | 2.16103e-06 | 16.0031 | 18.5779 | 4.87729 | 
[I][2017-05-13 16:38:19] 101 | 17.3683 | 29.0533 | -0.00108555 | 9.54703e-06 | 0.342522 | 2.8985e-06 | 9.63027 | 10.6312 | 5.30182 | 
[I][2017-05-13 16:38:19] 101.5 | 17.3686 | 29.0539 | -0.00108006 | 1.11649e-05 | 0.342525 | 2.00401e-06 | 16.443 | 19.1629 | 4.77606 | 
[I][2017-05-13 16:38:19] 102 | 17.3687 | 29.0543 | -0.00107611 | 7.49086e-06 | 0.342526 | 3.33099e-06 | 6.37523 | 7.05955 | 5.50402 | 
[I][2017-05-13 16:38:19] 102.5 | 17.3688 | 29.0546 | -0.00107259 | 6.27052e-06 | 0.342528 | 3.38636e-06 | 5.67192 | 5.39714 | 5.52708 | 
[I][2017-05-13 16:38:19] 103 | 17.3689 | 29.0549 | -0.00106861 | 7.86832e-06 | 0.34253 | 2.95176e-06 | 7.41936 | 8.69533 | 5.3273 | 
[I][2017-05-13 16:38:19] 103.5 | 17.3689 | 29.0552 | -0.00106482 | 7.13333e-06 | 0.342531 | 3.21358e-06 | 6.21271 | 6.89466 | 5.45069 | 
[I][2017-05-13 16:38:20] 104 | 17.369 | 29.0555 | -0.00106035 | 8.92738e-06 | 0.342533 | 2.26369e-06 | 10.9808 | 12.8377 | 4.94974 | 
[I][2017-05-13 16:38:20] 104.5 | 17.3691 | 29.0558 | -0.00105508 | 1.04085e-05 | 0.342534 | 1.4952e-06 | 34.1805 | 36.3724 | 4.55984 | 
[I][2017-05-13 16:38:20] 105 | 17.3692 | 29.0561 | -0.00105032 | 9.58331e-06 | 0.342535 | 1.91062e-06 | 15.0648 | 17.0409 | 4.70805 | 
[I][2017-05-13 16:38:20] 105.5 | 17.3693 | 29.0564 | -0.00104643 | 8.01101e-06 | 0.342536 | 2.81115e-06 | 8.5734 | 9.61607 | 5.25909 | 
[I][2017-05-13 16:38:20] 106 | 17.3694 | 29.0567 | -0.00104171 | 9.32673e-06 | 0.342537 | 2.46546e-06 | 10.687 | 12.1122 | 5.07556 | 
[I][2017-05-13 16:38:20] 106.5 | 17.3695 | 29.057 | -0.00103743 | 8.20215e-06 | 0.342538 | 2.93523e-06 | 8.02117 | 8.73914 | 5.32306 | 
[I][2017-05-13 16:38:20] 107 | 17.3696 | 29.0573 | -0.00103297 | 8.21936e-06 | 0.34254 | 3.34623e-06 | 6.95098 | 7.7969 | 5.51024 | 
[I][2017-05-13 16:38:20] 107.5 | 17.3697 | 29.0577 | -0.00102908 | 7.5747e-06 | 0.342541 | 2.34287e-06 | 8.75338 | 10.0254 | 5.00456 | 
[I][2017-05-13 16:38:20] 108 | 17.3698 | 29.058 | -0.00102502 | 7.94322e-06 | 0.342543 | 2.76952e-06 | 7.86938 | 9.11035 | 5.24031 | 
[I][2017-05-13 16:38:20] 108.5 | 17.3699 | 29.0583 | -0.00102075 | 8.71422e-06 | 0.342544 | 1.41501e-06 | 16.7927 | 19.3258 | 4.35203 | 
[I][2017-05-13 16:38:20] 109 | 17.37 | 29.0586 | -0.00101656 | 8.47437e-06 | 0.342545 | 2.62733e-06 | 9.10047 | 10.6159 | 5.16763 | 
[I][2017-05-13 16:38:21] 109.5 | 17.3701 | 29.0589 | -0.00101264 | 7.63563e-06 | 0.342546 | 3.02592e-06 | 6.99048 | 8.05024 | 5.36569 | 
[I][2017-05-13 16:38:21] 110 | 17.3702 | 29.0592 | -0.00100835 | 8.5802e-06 | 0.342548 | 2.61746e-06 | 9.19465 | 10.4781 | 5.16339 | 
[I][2017-05-13 16:38:21] 110.5 | 17.3703 | 29.0595 | -0.00100402 | 8.93673e-06 | 0.342549 | 1.93684e-06 | 13.0655 | 15.2424 | 4.75895 | 
[I][2017-05-13 16:38:21] 111 | 17.3704 | 29.0598 | -0.000999717 | 8.52648e-06 | 0.34255 | 1.57854e-06 | 24.2916 | 27.1032 | 4.60089 | 
[I][2017-05-13 16:38:21] 111.5 | 17.3705 | 29.0601 | -0.00099619 | 7.14348e-06 | 0.342551 | 2.67872e-06 | 7.17766 | 8.90017 | 5.19442 | 
[I][2017-05-13 16:38:21] 112 | 17.3706 | 29.0604 | -0.000992045 | 8.44977e-06 | 0.342552 | 2.21852e-06 | 11.0179 | 12.8057 | 4.9413 | 
[I][2017-05-13 16:38:21] 112.5 | 17.3706 | 29.0607 | -0.000988101 | 7.97193e-06 | 0.342553 | 2.40032e-06 | 8.94556 | 10.8598 | 5.03757 | 
[I][2017-05-13 16:38:21] 113 | 17.3707 | 29.061 | -0.000984252 | 7.84486e-06 | 0.342554 | 2.55663e-06 | 8.53479 | 10.0922 | 5.13079 | 
[I][2017-05-13 16:38:21] 113.5 | 17.3708 | 29.0613 | -0.000980142 | 8.17294e-06 | 0.342556 | 2.42639e-06 | 9.34386 | 10.5628 | 5.05813 | 
[I][2017-05-13 16:38:21] 114 | 17.3709 | 29.0616 | -0.000976195 | 8.04735e-06 | 0.342557 | 2.31451e-06 | 9.57487 | 11.4843 | 4.99299 | 
[I][2017-05-13 16:38:21] 114.5 | 17.371 | 29.0619 | -0.000971848 | 8.9456e-06 | 0.342558 | 1.97455e-06 | 13.0843 | 14.8645 | 4.77972 | 
[I][2017-05-13 16:38:22] 115 | 17.3711 | 29.0622 | -0.000967546 | 8.87346e-06 | 0.342559 | 2.13675e-06 | 11.5952 | 13.7776 | 4.8839 | 
[I][2017-05-13 16:38:22] 115.5 | 17.3712 | 29.0625 | -0.000963195 | 8.9465e-06 | 0.34256 | 2.08904e-06 | 12.1199 | 14.082 | 4.85819 | 
[I][2017-05-13 16:38:22] 116 | 17.3713 | 29.0629 | -0.000959186 | 8.27533e-06 | 0.342561 | 2.13993e-06 | 10.8631 | 12.5025 | 4.88958 | 
[I][2017-05-13 16:38:22] 116.5 | 17.3714 | 29.0632 | -0.000955155 | 8.23395e-06 | 0.342562 | 2.04717e-06 | 11.2765 | 13.2304 | 4.82856 | 
[I][2017-05-13 16:38:22] 117 | 17.3714 | 29.0635 | -0.000950999 | 8.51525e-06 | 0.342563 | 2.02002e-06 | 11.8147 | 13.8063 | 4.81087 | 
[I][2017-05-13 16:38:22] 117.5 | 17.3715 | 29.0638 | -0.000946951 | 8.28711e-06 | 0.342564 | 2.02127e-06 | 11.2979 | 13.3577 | 4.81197 | 
[I][2017-05-13 16:38:22] 118 | 17.3716 | 29.0641 | -0.000942827 | 8.44907e-06 | 0.342565 | 2.06997e-06 | 11.2325 | 13.273 | 4.8443 | 
[I][2017-05-13 16:38:22] 118.5 | 17.3717 | 29.0644 | -0.000938615 | 8.62513e-06 | 0.342566 | 1.99234e-06 | 12.0667 | 14.0867 | 4.7934 | 
[I][2017-05-13 16:38:22] 119 | 17.3718 | 29.0647 | -0.000934592 | 8.29246e-06 | 0.342567 | 2.00788e-06 | 11.3149 | 13.2228 | 4.80588 | 
[I][2017-05-13 16:38:22] 119.5 | 17.3719 | 29.065 | -0.000931117 | 7.21145e-06 | 0.342568 | 1.93485e-06 | 10.4802 | 12.1323 | 4.74435 | 
