[I][2017-05-13 16:38:06] dt, cm_x, cm_y, avg_d, avg_ds, mju, smo_d, smo_ds, int_d, int_ds, sf_a, sf_b, sf_c
[I][2017-05-13 16:38:12] 14 | 25.4859 | 0.681359 | 7.96197e-06 | -1.86143e-06 | 65689.9 | 1.24952e-05 | 7.36489e-06 | 0.000149608 | 6.01369e-05 | 4.93841e-05 | -2.1086e-06 | -5.28598e-05 | 
[I][2017-05-13 16:38:12] 15 | 25.4846 | 0.78615 | 2.29237e-05 | 5.01665e-06 | 65650.8 | 2.86298e-05 | 1.49617e-05 | 0.000209744 | 6.01856e-05 | 6.03581e-05 | -2.85345e-06 | -4.24547e-05 | 
[I][2017-05-13 16:38:12] 16 | 25.4835 | 0.887979 | 4.71487e-05 | 1.26711e-05 | 69519.8 | 5.42062e-05 | 2.4225e-05 | 0.00026993 | 5.56748e-05 | 6.69043e-05 | -3.82425e-06 | -2.50668e-05 | 
[I][2017-05-13 16:38:12] 17 | 25.4829 | 0.986164 | 8.65935e-05 | 2.45533e-05 | 71893.1 | 9.53724e-05 | 3.94448e-05 | 0.000325605 | 5.31892e-05 | 7.56948e-05 | -5.31044e-06 | 3.27555e-06 | 
[I][2017-05-13 16:38:12] 18 | 25.483 | 1.08491 | 0.000142271 | 3.70446e-05 | 64795.2 | 0.000153126 | 5.56778e-05 | 0.000378794 | 6.12695e-05 | 8.81308e-05 | -8.85988e-06 | 3.18629e-05 | 
[I][2017-05-13 16:38:12] 19 | 25.4838 | 1.18389 | 0.000227155 | 5.9194e-05 | 48183.6 | 0.000240749 | 8.48839e-05 | 0.000440064 | 9.16789e-05 | 0.000119141 | -1.78554e-05 | 7.62961e-05 | 
[I][2017-05-13 16:38:12] 20 | 25.4857 | 1.29097 | 0.000369477 | 0.000100564 | 31151.1 | 0.000387433 | 0.000142322 | 0.000531742 | 0.000165955 | 0.000181179 | -4.16915e-05 | 0.000162204 | 
[I][2017-05-13 16:38:12] 21 | 25.4898 | 1.42057 | 0.000597363 | 0.000155704 | 18893.2 | 0.000623063 | 0.000227885 | 0.000697698 | 0.000327687 | 0.000273601 | -0.000122921 | 0.000316431 | 
[I][2017-05-13 16:38:13] 22 | 25.4979 | 1.58677 | 0.000885096 | 0.000170263 | 9674.51 | 0.00092376 | 0.000287734 | 0.00102538 | 0.000814585 | 0.000356925 | -0.000543762 | 0.000697627 | 
[I][2017-05-13 16:38:13] 23 | 25.5157 | 1.78675 | 0.00126394 | 0.000281572 | 4184.8 | 0.00131354 | 0.000378848 | 0.00183997 | 0.00254749 | 0.000671709 | -0.00204028 | 0.00221329 | 
[I][2017-05-13 16:38:13] 24 | 25.5722 | 1.61855 | -0.000220031 | -0.00103367 | 1269.54 | -0.000221638 | -0.00148398 | 0.00438746 | 0.0129096 | -0.00225299 | 0.0105937 | -0.0114417 | 
[I][2017-05-13 16:38:13] 25 | 25.2796 | 3.72542 | -0.00249859 | -0.00407961 | 118.736 | -0.00230585 | -0.00227856 | 0.0172971 | 0.324341 | 0.0626107 | 0.236519 | -0.311369 | 
[I][2017-05-13 16:38:13] 26 | 17.4083 | 31.8467 | -0.00233311 | 0.000179573 | 73518.8 | -0.00213773 | 0.000165481 | 0.341638 | 5.15954e-05 | 0.000163651 | 0.000171009 | 0.000204058 | 
[I][2017-05-13 16:38:13] 27 | 17.4119 | 30.2627 | -0.00229078 | 4.3721e-05 | 302444 | -0.00209511 | 4.23211e-05 | 0.341689 | 7.53185e-06 | 3.94169e-05 | 4.52709e-05 | 4.64752e-05 | 
[I][2017-05-13 16:38:13] 28 | 17.4127 | 30.3134 | -0.00208192 | 0.000217379 | 38665.4 | -0.00187791 | 0.000208866 | 0.341697 | 0.000123682 | 0.000195492 | 0.000314219 | 0.000142425 | 
[I][2017-05-13 16:38:13] 29 | 17.4151 | 34.1272 | -0.00206408 | 1.99315e-05 | 412294 | -0.0018604 | 1.78347e-05 | 0.341821 | 4.9411e-06 | 2.01878e-05 | 2.13864e-05 | 1.82202e-05 | 
[I][2017-05-13 16:38:13] 30 | 17.4155 | 33.7428 | -0.00206185 | 2.11985e-06 | 2.82981e+06 | -0.00185807 | 2.23275e-06 | 0.341825 | 4.71423e-07 | 1.83198e-06 | 1.96754e-06 | 2.56003e-06 | 
[I][2017-05-13 16:38:13] 31 | 17.4155 | 33.5889 | -0.00206093 | 9.10982e-07 | 1e+07 | -0.00185715 | 9.19239e-07 | 0.341826 | 4.07525e-08 | 8.93925e-07 | 9.09915e-07 | 9.29106e-07 | 
[I][2017-05-13 16:38:13] 32 | 17.4155 | 33.4541 | -0.00205461 | 5.97456e-06 | 1.24971e+06 | -0.00185063 | 6.32188e-06 | 0.341826 | 1.09291e-06 | 6.71956e-06 | 4.9897e-06 | 6.21442e-06 | 
[I][2017-05-13 16:38:13] 33 | 17.4156 | 33.3349 | -0.00204604 | 8.23898e-06 | 758179 | -0.00184216 | 8.57349e-06 | 0.341827 | 2.15711e-06 | 1.00456e-05 | 6.6097e-06 | 8.06161e-06 | 
[I][2017-05-13 16:38:14] 34 | 17.4158 | 33.2269 | -0.0020406 | 5.93821e-06 | 1.31975e+06 | -0.00183678 | 5.43171e-06 | 0.341829 | 1.01475e-06 | 5.39312e-06 | 6.86321e-06 | 5.55832e-06 | 
[I][2017-05-13 16:38:14] 35 | 17.4159 | 33.1277 | -0.00203395 | 5.62665e-06 | 980875 | -0.00182996 | 6.65664e-06 | 0.34183 | 1.51952e-06 | 4.84957e-06 | 5.1595e-06 | 6.87088e-06 | 
[I][2017-05-13 16:38:14] 36 | 17.416 | 33.0354 | -0.00202635 | 7.68129e-06 | 1.15241e+06 | -0.00182254 | 7.59878e-06 | 0.341832 | 1.22033e-06 | 8.73019e-06 | 7.69677e-06 | 6.61692e-06 | 
[I][2017-05-13 16:38:14] 37 | 17.4161 | 32.9486 | -0.00201383 | 1.39045e-05 | 410435 | -0.00181084 | 1.25203e-05 | 0.341833 | 4.97158e-06 | 1.81041e-05 | 1.40998e-05 | 9.50958e-06 | 
