[I][2017-05-13 16:37:49] dt, x, y, avg_d, avg_ds, int_d, int_ds, sigma_x, sigma_y, int_s
[I][2017-05-13 16:37:49] 1 | 26.4706 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 
[I][2017-05-13 16:37:57] 45 | -1.3474e+07 | -4.07277e+36 | -6.69948e+13 | -5.97847e-15 | 1.86735e+20 | 351706 | -6.69948e+13 | -6.69948e+13 | 4585.17 | 
[I][2017-05-13 16:37:57] 46 | -1.3474e+07 | -4.07277e+36 | -6.69948e+13 | 3.31673 | 1.86735e+20 | 4.76663e+20 | -6.69948e+13 | -6.69948e+13 | 4.69798e+07 | 
[I][2017-05-13 16:37:57] 47 | -1.3474e+07 | -5.0389e+37 | -6.69948e+13 | -411557 | 6.63398e+20 | 2.93594e+33 | -6.70072e+13 | -6.70072e+13 | 1.12178e+11 | 
[I][2017-05-13 16:37:57] 48 | -1.3474e+07 | 7.10046e+43 | -6.77521e+13 | -7.14242e+11 | 2.93613e+33 | 4.51292e+41 | -2.1495e+16 | -2.1495e+16 | 1.69118e+13 | 
[I][2017-05-13 16:37:57] 49 | -1.3474e+07 | -3.9383e+56 | -6.77521e+13 | 2.53519e-21 | 4.51292e+41 | 2.28307e+25 | -6.77521e+13 | -6.77521e+13 | 8.17106e+08 | 
[I][2017-05-13 16:37:57] 50 | -1.3474e+07 | -3.9383e+56 | -6.77521e+13 | -1.53473e-30 | 4.51292e+41 | 1.69646e+17 | -6.77521e+13 | -6.77521e+13 | 5.70406e+06 | 
[I][2017-05-13 16:37:57] 51 | -1.3474e+07 | -3.9383e+56 | -6.77521e+13 | 7.83278e-15 | 4.51292e+41 | 8.72268e+34 | -6.77521e+13 | -6.77521e+13 | 2.79669e+11 | 
[I][2017-05-13 16:37:57] 52 | -1.3474e+07 | -3.9383e+56 | -6.77521e+13 | -0 | 4.51292e+41 | -0 | -6.77521e+13 | -6.77521e+13 | -0 | 
[I][2017-05-13 16:37:57] 53 | -1.3474e+07 | -3.9383e+56 | -nan(ind) | -nan(ind) | 4.51292e+41 | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:37:58] 54 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:37:58] 55 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:37:58] 56 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:37:58] 57 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:37:59] 58 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:37:59] 59 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:37:59] 60 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:38:00] 61 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:38:00] 62 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:38:00] 63 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:38:00] 64 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
[I][2017-05-13 16:38:01] 65 | -nan(ind) | -nan(ind) | nan | -nan(ind) | nan | -nan(ind) | -nan(ind) | -nan(ind) | -nan(ind) | 
