[I][2017-04-19 20:19:43] dt, cm_x, cm_y, avg_d, avg_ds, mju, smo_d, smo_ds, int_d, int_ds, sf_a, sf_b, sf_c
[I][2017-04-19 20:19:43] 0.025 | 4.74396 | 40.6437 | -nan | -nan | -nan | -nan | -nan | 0 | -nan | -nan | -nan | -nan | 
[I][2017-04-19 20:19:55] 2.1 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:55] 2.125 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:56] 2.15 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:56] 2.175 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:56] 2.2 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:56] 2.225 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:56] 2.25 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:56] 2.275 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:56] 2.3 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:56] 2.325 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:56] 2.35 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:56] 2.375 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:56] 2.4 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:57] 2.425 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:57] 2.45 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:57] 2.475 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:57] 2.5 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:57] 2.525 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:58] 2.55 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:58] 2.575 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:58] 2.6 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:58] 2.625 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:58] 2.65 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:58] 2.675 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:59] 2.7 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:59] 2.725 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:19:59] 2.75 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:00] 2.775 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:00] 2.8 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:00] 2.825 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:00] 2.85 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:00] 2.875 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:00] 2.9 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:00] 2.925 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:00] 2.95 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:00] 2.975 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:01] 3 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:01] 3.025 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:01] 3.026 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:01] 3.027 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:01] 3.028 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:01] 3.029 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:01] 3.03 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:02] 3.031 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:02] 3.032 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:02] 3.033 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:02] 3.034 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:02] 3.035 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:02] 3.036 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:02] 3.037 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:02] 3.038 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:02] 3.039 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:03] 3.04 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:03] 3.041 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:03] 3.042 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:03] 3.043 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:03] 3.044 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:03] 3.045 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:04] 3.046 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:04] 3.047 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:04] 3.048 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:04] 3.049 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:04] 3.05 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:04] 3.051 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:04] 3.052 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:04] 3.053 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:05] 3.054 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:05] 3.055 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:05] 3.056 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:05] 3.057 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:05] 3.058 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:05] 3.059 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:05] 3.06 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:05] 3.061 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:06] 3.062 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:06] 3.063 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:06] 3.064 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:06] 3.065 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:06] 3.066 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:06] 3.067 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:06] 3.068 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:06] 3.069 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:07] 3.07 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:07] 3.071 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:07] 3.072 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:07] 3.073 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:07] 3.074 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:07] 3.075 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:07] 3.076 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:07] 3.077 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:07] 3.078 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:07] 3.079 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:08] 3.08 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:08] 3.081 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:08] 3.082 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:08] 3.083 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:08] 3.084 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:08] 3.085 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:08] 3.086 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:08] 3.087 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:09] 3.088 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:09] 3.089 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:09] 3.09 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:09] 3.091 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:09] 3.092 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:09] 3.093 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:09] 3.094 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:10] 3.095 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
[I][2017-04-19 20:20:10] 3.096 | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | 
